"region","category","sub_category","segment","sales","profit","quantity","discount"
"South","Furniture","Bookcases","Consumer","261.96","41.9136",2,"0.0"
"South","Furniture","Chairs","Consumer","731.94","219.582",3,"0.0"
"West","Office Supplies","Labels","Corporate","14.62","6.8714",2,"0.0"
"South","Furniture","Tables","Consumer","957.5775","-383.031",5,"0.45"
"South","Office Supplies","Storage","Consumer","22.368","2.5164",2,"0.2"
"West","Furniture","Furnishings","Consumer","48.86","14.1694",7,"0.0"
"West","Office Supplies","Art","Consumer","7.28","1.9656",4,"0.0"
"West","Technology","Phones","Consumer","907.152","90.7152",6,"0.2"
"West","Office Supplies","Binders","Consumer","18.504","5.7825",3,"0.2"
"West","Office Supplies","Appliances","Consumer","114.9","34.47",5,"0.0"
"West","Furniture","Tables","Consumer","1706.184","85.3092",9,"0.2"
"West","Technology","Phones","Consumer","911.424","68.3568",4,"0.2"
"South","Office Supplies","Paper","Consumer","15.552","5.4432",3,"0.2"
"West","Office Supplies","Binders","Consumer","407.976","132.5922",3,"0.2"
"Central","Office Supplies","Appliances","Home Office","68.81","-123.858",5,"0.8"
"Central","Office Supplies","Binders","Home Office","2.544","-3.816",3,"0.8"
"Central","Office Supplies","Storage","Consumer","665.88","13.3176",6,"0.0"
"West","Office Supplies","Storage","Consumer","55.5","9.99",2,"0.0"
"West","Office Supplies","Art","Consumer","8.56","2.4824",2,"0.0"
"West","Technology","Phones","Consumer","213.48","16.011",3,"0.2"
"West","Office Supplies","Binders","Consumer","22.72","7.384",4,"0.2"
"Central","Office Supplies","Art","Corporate","19.46","5.0596",7,"0.0"
"Central","Office Supplies","Appliances","Corporate","60.34","15.6884",7,"0.0"
"East","Furniture","Chairs","Consumer","71.372","-1.0196",2,"0.3"
"West","Furniture","Tables","Consumer","1044.63","240.2649",3,"0.0"
"West","Office Supplies","Binders","Consumer","11.648","4.2224",2,"0.2"
"West","Technology","Accessories","Consumer","90.57","11.7741",3,"0.0"
"East","Furniture","Bookcases","Consumer","3083.43","-1665.0522",7,"0.5"
"East","Office Supplies","Binders","Consumer","9.618","-7.0532",2,"0.7"
"East","Furniture","Furnishings","Consumer","124.2","15.525",3,"0.2"
"East","Office Supplies","Envelopes","Consumer","3.264","1.1016",2,"0.2"
"East","Office Supplies","Art","Consumer","86.304","9.7092",6,"0.2"
"East","Office Supplies","Binders","Consumer","6.858","-5.715",6,"0.7"
"East","Office Supplies","Art","Consumer","15.76","3.546",2,"0.2"
"Central","Office Supplies","Paper","Home Office","29.472","9.9468",3,"0.2"
"Central","Technology","Phones","Corporate","1097.544","123.4737",7,"0.2"
"Central","Furniture","Furnishings","Corporate","190.92","-147.963",5,"0.6"
"Central","Office Supplies","Envelopes","Home Office","113.328","35.415",9,"0.2"
"Central","Furniture","Bookcases","Home Office","532.3992","-46.9764",3,"0.32"
"Central","Furniture","Chairs","Home Office","212.058","-15.147",3,"0.3"
"Central","Technology","Phones","Home Office","371.168","41.7564",4,"0.2"
"Central","Technology","Phones","Corporate","147.168","16.5564",4,"0.2"
"West","Office Supplies","Storage","Corporate","77.88","3.894",2,"0.0"
"South","Office Supplies","Storage","Corporate","95.616","9.5616",2,"0.2"
"Central","Technology","Accessories","Corporate","45.98","19.7714",2,"0.0"
"Central","Office Supplies","Binders","Corporate","17.46","8.2062",2,"0.0"
"Central","Office Supplies","Storage","Consumer","211.96","8.4784",4,"0.0"
"East","Technology","Accessories","Consumer","45.0","4.95",3,"0.0"
"East","Technology","Phones","Consumer","21.8","6.104",2,"0.0"
"Central","Office Supplies","Binders","Consumer","38.22","17.9634",6,"0.0"
"Central","Office Supplies","Labels","Consumer","75.18","35.3346",6,"0.0"
"Central","Furniture","Furnishings","Consumer","6.16","2.9568",2,"0.0"
"Central","Furniture","Chairs","Consumer","89.99","17.0981",1,"0.0"
"East","Office Supplies","Fasteners","Corporate","15.26","6.2566",7,"0.0"
"East","Technology","Phones","Corporate","1029.95","298.6855",5,"0.0"
"East","Office Supplies","Storage","Consumer","208.56","52.14",6,"0.0"
"East","Office Supplies","Paper","Consumer","32.4","15.552",5,"0.0"
"East","Furniture","Chairs","Consumer","319.41","7.098",5,"0.1"
"East","Office Supplies","Paper","Consumer","14.56","6.9888",2,"0.0"
"East","Technology","Accessories","Consumer","30.0","3.3",2,"0.0"
"East","Office Supplies","Binders","Consumer","48.48","16.362",4,"0.2"
"East","Office Supplies","Art","Consumer","1.68","0.84",1,"0.0"
"West","Technology","Accessories","Consumer","13.98","6.1512",2,"0.0"
"West","Office Supplies","Binders","Consumer","25.824","9.3612",6,"0.2"
"West","Office Supplies","Paper","Consumer","146.73","68.9631",3,"0.0"
"West","Furniture","Furnishings","Consumer","79.76","22.3328",4,"0.0"
"Central","Furniture","Chairs","Home Office","213.115","-15.2225",5,"0.3"
"West","Office Supplies","Art","Corporate","1113.024","111.3024",8,"0.2"
"West","Technology","Phones","Corporate","167.968","62.988",4,"0.2"
"South","Office Supplies","Paper","Consumer","75.88","35.6636",2,"0.0"
"East","Office Supplies","Binders","Consumer","4.616","1.731",1,"0.2"
"Central","Office Supplies","Paper","Consumer","19.05","8.763",3,"0.0"
"South","Furniture","Chairs","Consumer","831.936","-114.3912",8,"0.2"
"South","Furniture","Furnishings","Consumer","97.04","1.213",2,"0.2"
"South","Office Supplies","Storage","Consumer","72.784","-18.196",1,"0.2"
"Central","Office Supplies","Binders","Corporate","1.248","-1.9344",3,"0.8"
"Central","Furniture","Furnishings","Corporate","9.708","-5.8248",3,"0.6"
"Central","Office Supplies","Storage","Corporate","27.24","2.724",3,"0.2"
"Central","Furniture","Furnishings","Consumer","19.3","-14.475",5,"0.6"
"South","Office Supplies","Appliances","Corporate","208.16","56.2032",1,"0.0"
"South","Office Supplies","Binders","Corporate","16.74","8.0352",3,"0.0"
"West","Office Supplies","Art","Consumer","14.9","4.172",5,"0.0"
"West","Office Supplies","Storage","Consumer","21.39","6.2031",1,"0.0"
"South","Office Supplies","Envelopes","Corporate","200.984","62.8075",7,"0.2"
"Central","Office Supplies","Storage","Home Office","230.376","-48.9549",3,"0.2"
"South","Furniture","Chairs","Consumer","301.96","33.2156",2,"0.0"
"Central","Technology","Accessories","Consumer","19.99","6.7966",1,"0.0"
"Central","Office Supplies","Labels","Consumer","6.16","2.9568",2,"0.0"
"Central","Office Supplies","Storage","Home Office","158.368","13.8572",7,"0.2"
"West","Office Supplies","Art","Corporate","20.1","6.633",3,"0.0"
"West","Technology","Phones","Corporate","73.584","8.2782",2,"0.2"
"West","Office Supplies","Paper","Corporate","6.48","3.1104",1,"0.0"
"Central","Office Supplies","Paper","Consumer","12.96","6.2208",2,"0.0"
"Central","Furniture","Furnishings","Consumer","53.34","16.5354",3,"0.0"
"Central","Office Supplies","Binders","Consumer","32.96","16.1504",2,"0.0"
"West","Office Supplies","Binders","Home Office","5.682","-3.788",1,"0.7"
"East","Furniture","Furnishings","Home Office","96.53","40.5426",7,"0.0"
"West","Office Supplies","Binders","Consumer","51.312","17.9592",3,"0.2"
"Central","Office Supplies","Appliances","Corporate","77.88","22.5852",6,"0.0"
"Central","Office Supplies","Paper","Home Office","64.624","22.6184",7,"0.2"
"Central","Technology","Accessories","Home Office","95.976","-10.7973",3,"0.2"
"Central","Office Supplies","Binders","Home Office","1.788","-3.0396",3,"0.8"
"Central","Office Supplies","Paper","Consumer","23.92","11.7208",4,"0.0"
"West","Technology","Accessories","Consumer","238.896","-26.8758",6,"0.2"
"West","Furniture","Furnishings","Consumer","102.36","-3.8385",3,"0.2"
"West","Office Supplies","Binders","Consumer","36.882","-25.8174",3,"0.7"
"South","Technology","Accessories","Consumer","74.112","17.6016",8,"0.2"
"South","Technology","Phones","Consumer","27.992","2.0994",1,"0.2"
"South","Office Supplies","Art","Consumer","3.304","1.0738",1,"0.2"
"Central","Technology","Accessories","Home Office","339.96","67.992",5,"0.2"
"East","Furniture","Furnishings","Corporate","41.96","10.9096",2,"0.0"
"Central","Office Supplies","Art","Consumer","75.96","22.788",2,"0.0"
"Central","Office Supplies","Binders","Consumer","27.24","13.3476",6,"0.0"
"East","Office Supplies","Fasteners","Consumer","40.096","14.5348",14,"0.2"
"East","Office Supplies","Envelopes","Consumer","4.72","1.652",2,"0.2"
"East","Office Supplies","Paper","Consumer","23.976","7.4925",3,"0.2"
"East","Office Supplies","Envelopes","Consumer","130.464","44.0316",6,"0.2"
"West","Furniture","Tables","Consumer","787.53","165.3813",3,"0.0"
"South","Office Supplies","Binders","Corporate","157.794","-115.7156",1,"0.7"
"East","Furniture","Furnishings","Consumer","47.04","18.3456",3,"0.0"
"East","Office Supplies","Binders","Consumer","30.84","13.878",4,"0.0"
"East","Office Supplies","Storage","Consumer","226.56","63.4368",6,"0.0"
"East","Office Supplies","Envelopes","Consumer","115.02","51.759",9,"0.0"
"East","Technology","Phones","Consumer","68.04","19.7316",7,"0.0"
"Central","Furniture","Chairs","Home Office","600.558","-8.5794",3,"0.3"
"Central","Furniture","Tables","Consumer","617.7","-407.682",6,"0.5"
"South","Office Supplies","Paper","Corporate","15.552","5.4432",3,"0.2"
"West","Office Supplies","Binders","Consumer","2.388","-1.8308",2,"0.7"
"West","Office Supplies","Storage","Consumer","243.992","30.499",7,"0.2"
"West","Furniture","Chairs","Home Office","81.424","-9.1602",2,"0.2"
"West","Furniture","Furnishings","Home Office","238.56","26.2416",3,"0.0"
"East","Technology","Phones","Corporate","59.97","-11.994",5,"0.4"
"East","Office Supplies","Paper","Corporate","78.304","29.364",2,"0.2"
"East","Office Supplies","Fasteners","Corporate","21.456","6.9732",9,"0.2"
